dispute_id,payment_id,dispute_date,dispute_reason,dispute_status
c7d0b3f7-8f1d-4300-83cf-af9c078dc236,980f56e7-fe4e-43b6-914e-5df48c25de40,2024-07-10,Billion either usually treatment.,Resolved
5f1177d3-8774-4590-bec0-3c2bb105b086,a33eb94c-7a5c-42e1-b4fb-af1ca3d1f9d9,2024-08-20,Kind amount senior benefit.,Resolved
3c29557a-350d-400c-833b-5ca3457230a5,7517c922-9dcf-4db6-bf4e-6e3ee3515677,2024-04-07,Push trip add when.,Rejected
bc398c84-6e6b-401c-9d2a-e217e683aae8,9018dc1f-5c0a-4dc9-b8d0-805ca2ab3167,2024-02-23,Or difficult factor live message.,Open
3d1e5f8e-077b-4fba-af72-b8dd2f04ecfe,948df318-2a5d-49cf-a879-86fd9374a731,2024-03-23,Happy young Congress speak.,Open
36235d2a-e33e-4063-b3e0-362dcd759c11,add92319-f708-4470-87ce-5248f72aab3f,2024-01-12,Likely cultural last firm white voice control.,Resolved
ee9feeb1-480d-4420-9fac-a0e9f00dae78,2763e52d-2f13-413b-ae52-fd9f78605064,2024-02-05,Development yeah bill scientist director agreement data.,Resolved
c4039205-36e0-4385-9c6f-198178c3129c,d621a6ed-6d22-490f-8025-4935439320c4,2024-05-19,Employee to when party notice game laugh beautiful.,Open
d8b2a49b-7d5f-4d6e-a946-8e454b4f4c46,71a0bad3-60ae-46be-bff4-d5b27221daec,2024-06-28,Mission detail some send suddenly.,Open
b43a467e-eed6-49ef-aaca-6f8dbf8c39ff,d0aaa6d6-c472-4fa9-8a7a-58d27e6208d2,2024-01-14,Short real prove design say.,Rejected
93287fc2-d407-49c4-86a5-0ae40c70c189,5c6355fc-4b42-4a38-bcc2-f535a954cec2,2024-06-04,Test final trial quickly build force.,Open
d9c929ec-0d4c-4124-bfa4-5aec8ecd7e5e,323266b3-54f7-4bb9-bcad-4c604574552c,2024-04-03,From whose especially little PM.,Rejected
6ad8b18f-eab4-4967-84bd-da52ab0cfc3f,613ad4d3-849c-47f8-bfbf-d77efb71e83a,2024-04-09,Risk tell half want group yourself.,Open
840dd366-944b-494f-af2f-c759e8275a32,8ab78afe-57f3-410e-ac9a-853121fe0bbe,2024-04-05,North picture show spring recognize science skin.,Rejected
b989a91c-48b7-40a2-9b8a-72556420bba6,aa7b08a7-5a69-4427-8216-d45322bef63c,2024-01-04,Set really yeah before.,Open
a2d586ec-872d-4058-b072-39f468cb527c,cf06fb69-ccca-4eca-b164-6bb974d82cab,2024-08-09,Song remember actually product discuss during.,Resolved
