financial_data_id,user_id,data_date,financial_metric,value
5a828a34-1756-4c4f-a706-a9aebc849d46,735f6009-3c45-4b40-9521-e9a295362ff4,2024-01-16,Balance,46733.57
7b1191c0-fd99-4674-8b07-93827d197c4e,c3b2c4d5-6b09-4d05-885e-c8c0ac95b1f5,2024-05-01,Credit Score,8604.0
11d441d7-0fe8-4184-b08a-4be754c12beb,1d2ef168-1264-4001-857d-7f970e8544e5,2024-07-30,Credit Score,21174.78
042e5f21-8e0d-4db9-b4a3-e845fdcb1a58,4a1f0708-8dbd-4b3c-8de2-f950e4cc024c,2024-02-15,Income,36240.98
a751ff26-7eda-4262-8ea8-221a7704163d,0671681b-b013-4cb0-acbd-40eeb0563e0d,2024-03-20,Income,49156.28
349bbb78-dbfa-4c0e-b8aa-8629955a5a07,aa5398d6-8ce6-4346-92e6-4d0dc0c2df1e,2024-05-25,Expenditure,11392.98
24ec437d-9613-4702-9b91-089739972473,074d1e29-1806-4f4d-92b7-c8b08e72dead,2024-03-06,Income,3205.83
3d7f20c6-a6fb-4597-9bdc-a20c62778bc7,c62fb39e-0c73-4c1c-af81-2164d128545a,2024-01-04,Expenditure,908.08
959720ca-c82a-448f-9b03-6530c851e2ff,49a960f3-21e3-45e6-bdd8-12d351b98695,2024-02-18,Expenditure,8039.99
29bb7465-d2cd-4e1d-b2c6-7f5792acf098,8d447dfe-33c9-475a-9bd4-aa5bad5cdcb8,2024-05-31,Balance,45604.76
615253de-eb6c-4f90-be3d-f16d80356f0e,9de6b619-b456-4b99-acd3-a8ad50623261,2024-06-05,Expenditure,6536.55
ecaf31e9-87a4-45ee-a62f-cb4bf8423352,529bdbc0-09b3-45c8-b8f4-5b0ca0f45e84,2024-01-31,Balance,30993.69
70ce8e4c-17db-4d88-9821-00a87a94ca40,5b55c2d5-28ae-4f58-955d-beadc50f2d3e,2024-07-16,Expenditure,9814.07
4ffc7ea9-8f30-46e4-abd8-28b507a882c9,735f6009-3c45-4b40-9521-e9a295362ff4,2024-02-11,Expenditure,4406.34
9d26bcfc-90aa-4bb3-9227-2a5be4b14c00,a0224809-8ab2-4c6a-84ff-0fe06074c1b6,2024-06-17,Income,23176.99
1de83688-5aa1-4a0d-8aab-ad203a9147f0,b2d07241-6084-4fcd-a003-db2429b7437f,2024-06-14,Income,14956.68
87f05b0c-4cb5-466a-927d-ff054e7cdb86,d163438b-7417-4737-89fa-fae5e45f4546,2024-04-29,Balance,37823.2
757d004a-e4c5-41a4-adcd-7291593efb56,2ee53fb4-8246-4425-b7d9-e02df0b32d65,2024-08-06,Balance,23280.85
2231318f-662d-4592-adfe-d402541abd9e,6fb7691c-fbf9-4381-8ef5-3aac27255399,2024-05-03,Expenditure,5904.55
d574d7ed-0c3a-488d-b30a-da65c66100b8,66c1ff58-74f9-4396-a627-f6ee86eaa57f,2024-06-15,Credit Score,23388.15
7a506fde-0ac8-462b-8a8e-cb021d7dfd84,b16d76db-e24f-4902-89c8-ed215a106c00,2024-01-01,Credit Score,34013.18
481518a9-fd5c-445f-b539-405967380fae,5a04b690-cf24-4e84-8168-b912d39b539f,2024-01-23,Income,17913.77
0edf96d1-8c0c-4a91-951b-3b9993c4e449,c0902024-d478-4303-b590-e505ef1d823a,2024-05-28,Expenditure,5510.54
3e1f082d-d29c-49dd-8b7e-994957cd34c4,c74eea87-b211-4952-bf81-8d5860d443f4,2024-07-04,Balance,14352.37
5ec68cbc-cbe3-4750-8877-5f11f0b6591c,b21786fa-f048-4434-aaaf-ee2bf560f65d,2024-06-12,Income,42038.02
